site,depth
M37/0010,Shallow
M37/0287,Deep
M37/0461,Shallow
M37/0462,Deep
M37/0463,Deep
N32/0062,Shallow
N32/0209,Shallow
N32/0289,Deep
N32/0384,Deep
N32/0393,Shallow
N32/0445,Shallow
N32/0484,Shallow
N32/0492,Shallow
N33/0064,Shallow
N33/0113,Shallow
N33/0166,Shallow
N33/0198,Deep
N33/0206,Shallow
N33/0219,Shallow
N33/0246,Deep
N33/0249,Shallow
N33/0266,Deep
N33/0270,Shallow
N33/0282,Deep
N33/0312,Deep
N33/0351,Deep
N33/0410,Shallow
N33/0458,Deep
N34/0058,Shallow
N34/0060,Shallow
N34/0097,Shallow
N34/0106,Deep
N34/0107,Shallow
N34/0109,Shallow
N34/0110,Deep
N34/0131,Deep
N34/0132,Shallow
N34/0142,Deep
N34/0143,Deep
N34/0145,Deep
O31/0030,Shallow
O31/0088,Shallow
O31/0156,Shallow
O31/0197,Deep
O31/0200,Shallow
O31/0242,Shallow
O31/0249,Shallow
O31/0279,Shallow
O31/0309,Shallow
O31/0331,Shallow
O31/0353,Deep
O31/0358,Deep
O31/0372,Shallow
O31/0376,Shallow
