mtype,site,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01
precip,404810,64.29,7.14,50.0,92.86,85.71,50.0
precip,405610,60.42,62.5,75.0,100.0,79.17,54.55
precip,405711,66.67,66.67,66.67,100.0,75.0,58.33
precip,405910,64.52,38.71,64.52,100.0,87.1,50.0
precip,407810,58.06,50.0,74.19,100.0,58.06,33.33
precip,408401,28.57,48.28,66.67,100.0,70.0,43.33
precip,409310,39.13,86.96,72.73,95.45,77.27,45.45
precip,410010,25.76,57.58,77.27,100.0,64.52,12.9
precip,414110,54.84,25.81,61.29,100.0,90.0,36.67
precip,417110,72.22,38.89,77.78,100.0,52.94,52.94
precip,418010,67.74,74.19,40.0,100.0,60.0,60.0
precip,419211,29.03,38.71,63.33,100.0,86.67,13.33
